#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

30,0	60,0
30,4	61,0
30,8	62,0
31,2	75,0
31,6	86,0
32,0	86,0
32,4	81,0
32,8	80,0
33,2	75,0
33,5	72,0
34,0	67,0
34,4	67,0
34,8	64,0
35,2	58,0
35,5	63,0
36,0	58,0
36,4	57,0
36,8	53,0
37,2	52,0
37,5	51,0
38,0	45,0
38,4	49,0
38,8	47,0
39,2	47,0
39,5	42,0
40,0	40,0
40,4	41,0
40,8	55,0
41,2	392,0
41,5	443,0
42,0	156,0
42,4	55,0
42,8	46,0
43,2	39,0
43,5	38,0
44,0	36,0
44,4	37,0
44,8	37,0
45,2	51,0
45,5	256,0
46,0	1318,0
46,4	853,0
46,8	62,0
47,2	37,0
47,6	27,0
48,0	24,0
48,4	23,0
48,8	22,0
49,2	21,0
49,6	23,0
50,0	21,0
